         57220 function calls (56585 primitive calls) in 0.115 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        9    0.000    0.000    0.000    0.000 decorators.py:16(callee)
       38    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      112    0.000    0.000    0.000    0.000 event.py:21(minute)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        7    0.000    0.000    0.002    0.000 sre_compile.py:622(_code)
        4    0.000    0.000    0.000    0.000 match.py:161(scores)
       68    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
        3    0.000    0.000    0.000    0.000 date.py:57(month)
       84    0.000    0.000    0.000    0.000 event.py:30(is_double_yellow)
       33    0.000    0.000    0.000    0.000 player.py:137(is_capitain)
       84    0.000    0.000    0.000    0.000 event.py:35(is_red_card)
        2    0.000    0.000    0.027    0.013 team.py:25(<listcomp>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
       16    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
       14    0.000    0.000    0.000    0.000 enum.py:359(__call__)
       75    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       46    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      144    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       63    0.000    0.000    0.000    0.000 event.py:43(is_autogoal)
       62    0.000    0.000    0.000    0.000 event.py:39(is_goal)
        1    0.000    0.000    0.001    0.001 match.py:97(home_team_id)
       16    0.000    0.000    0.000    0.000 date.py:36(from_regex_group)
        1    0.000    0.000    0.000    0.000 match.py:106(guest_team_id)
        2    0.000    0.000    0.000    0.000 match.py:81(team_relative_urls)
        4    0.000    0.000    0.000    0.000 match.py:131(guest_team)
        6    0.000    0.000    0.000    0.000 player.py:199(was_on_field)
        1    0.000    0.000    0.002    0.002 match.py:179(date)
        7    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    0.001    0.001 match.py:210(tournament_id)
        2    0.000    0.000    0.000    0.000 match.py:63(team_names)
        3    0.000    0.000    0.000    0.000 date.py:47(day)
        1    0.000    0.000    0.002    0.002 date.py:27(__init__)
        2    0.000    0.000    0.000    0.000 match.py:151(get_opposing_team)
       49    0.000    0.000    0.000    0.000 event.py:47(is_substitute_in)
        3    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 match.py:171(home_score)
       25    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 match.py:183(round)
        1    0.000    0.000    0.000    0.000 match.py:71(home_team_name)
        1    0.000    0.000    0.000    0.000 match.py:89(home_team_relative_url)
       22    0.000    0.000    0.000    0.000 regex.py:3(__init__)
        1    0.000    0.000    0.000    0.000 match.py:202(tournament_relative_url)
       14    0.000    0.000    0.000    0.000 enum.py:678(__new__)
       14    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       36    0.000    0.000    0.000    0.000 event.py:26(is_yellow)
        3    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
       33    0.000    0.000    0.000    0.000 player.py:52(last_name)
